timestamp, index, utilization.gpu [%], memory.used [MiB]
2025/09/30 23:54:43.468, 0, 28 %, 18152 MiB
2025/09/30 23:54:43.468, 1, 72 %, 42462 MiB
2025/09/30 23:55:13.469, 0, 20 %, 19232 MiB
2025/09/30 23:55:13.469, 1, 73 %, 38414 MiB
2025/09/30 23:55:43.470, 0, 27 %, 21236 MiB
2025/09/30 23:55:43.470, 1, 74 %, 36054 MiB
2025/09/30 23:56:13.471, 0, 0 %, 21174 MiB
2025/09/30 23:56:13.471, 1, 75 %, 32604 MiB
2025/09/30 23:56:43.471, 0, 54 %, 25206 MiB
2025/09/30 23:56:43.471, 1, 73 %, 29914 MiB
2025/09/30 23:57:13.472, 0, 0 %, 28450 MiB
2025/09/30 23:57:13.472, 1, 76 %, 28674 MiB
2025/09/30 23:57:43.473, 0, 54 %, 34112 MiB
2025/09/30 23:57:43.473, 1, 63 %, 48444 MiB
2025/09/30 23:58:13.474, 0, 0 %, 39972 MiB
2025/09/30 23:58:13.474, 1, 0 %, 47010 MiB
2025/09/30 23:58:43.475, 0, 0 %, 43272 MiB
2025/09/30 23:58:43.475, 1, 4 %, 44678 MiB
2025/09/30 23:59:13.476, 0, 100 %, 15748 MiB
2025/09/30 23:59:13.476, 1, 0 %, 43996 MiB
2025/09/30 23:59:43.477, 0, 0 %, 23696 MiB
2025/09/30 23:59:43.477, 1, 50 %, 44680 MiB
2025/10/01 00:00:13.478, 0, 13 %, 31242 MiB
2025/10/01 00:00:13.478, 1, 15 %, 46068 MiB
2025/10/01 00:00:43.479, 0, 54 %, 37878 MiB
2025/10/01 00:00:43.479, 1, 77 %, 34880 MiB
2025/10/01 00:01:13.480, 0, 27 %, 45196 MiB
2025/10/01 00:01:13.480, 1, 0 %, 38028 MiB
2025/10/01 00:01:43.481, 0, 0 %, 16496 MiB
2025/10/01 00:01:43.481, 1, 41 %, 43878 MiB
2025/10/01 00:02:13.482, 0, 66 %, 24422 MiB
2025/10/01 00:02:13.482, 1, 77 %, 42242 MiB
2025/10/01 00:02:43.482, 0, 0 %, 32580 MiB
2025/10/01 00:02:43.482, 1, 43 %, 45594 MiB
2025/10/01 00:03:13.482, 0, 80 %, 44218 MiB
2025/10/01 00:03:13.483, 1, 78 %, 45158 MiB
2025/10/01 00:03:43.484, 0, 0 %, 24860 MiB
2025/10/01 00:03:43.484, 1, 0 %, 41958 MiB
2025/10/01 00:04:13.485, 0, 0 %, 24860 MiB
2025/10/01 00:04:13.485, 1, 0 %, 41958 MiB
2025/10/01 00:04:43.486, 0, 0 %, 24860 MiB
2025/10/01 00:04:43.486, 1, 0 %, 41958 MiB
2025/10/01 00:05:13.487, 0, 1 %, 24860 MiB
2025/10/01 00:05:13.487, 1, 10 %, 41958 MiB
2025/10/01 00:05:43.488, 0, 5 %, 24860 MiB
2025/10/01 00:05:43.488, 1, 9 %, 41958 MiB
2025/10/01 00:06:13.488, 0, 0 %, 24860 MiB
2025/10/01 00:06:13.488, 1, 12 %, 41958 MiB
2025/10/01 00:06:43.489, 0, 5 %, 24860 MiB
2025/10/01 00:06:43.490, 1, 8 %, 41958 MiB
2025/10/01 00:07:13.491, 0, 0 %, 24860 MiB
2025/10/01 00:07:13.491, 1, 10 %, 41958 MiB
2025/10/01 00:07:43.491, 0, 1 %, 24860 MiB
2025/10/01 00:07:43.491, 1, 10 %, 41958 MiB
2025/10/01 00:08:13.491, 0, 1 %, 24860 MiB
2025/10/01 00:08:13.492, 1, 10 %, 41958 MiB
2025/10/01 00:08:43.493, 0, 2 %, 24860 MiB
2025/10/01 00:08:43.493, 1, 10 %, 41958 MiB
2025/10/01 00:09:13.493, 0, 0 %, 24860 MiB
2025/10/01 00:09:13.494, 1, 12 %, 41958 MiB
2025/10/01 00:09:43.494, 0, 3 %, 24860 MiB
2025/10/01 00:09:43.495, 1, 8 %, 41958 MiB
2025/10/01 00:10:13.495, 0, 0 %, 1 MiB
2025/10/01 00:10:13.495, 1, 0 %, 1 MiB
2025/10/01 00:10:43.495, 0, 0 %, 1 MiB
2025/10/01 00:10:43.495, 1, 0 %, 1 MiB
2025/10/01 00:11:13.496, 0, 0 %, 1 MiB
2025/10/01 00:11:13.496, 1, 0 %, 1 MiB
2025/10/01 00:11:43.497, 0, 0 %, 1 MiB
2025/10/01 00:11:43.497, 1, 0 %, 1 MiB
2025/10/01 00:12:13.498, 0, 0 %, 1 MiB
2025/10/01 00:12:13.498, 1, 0 %, 1 MiB
2025/10/01 00:12:43.499, 0, 0 %, 1 MiB
2025/10/01 00:12:43.499, 1, 0 %, 1 MiB
2025/10/01 00:13:13.501, 0, 0 %, 1 MiB
2025/10/01 00:13:13.501, 1, 0 %, 1 MiB
2025/10/01 00:13:43.502, 0, 0 %, 1 MiB
2025/10/01 00:13:43.502, 1, 0 %, 1 MiB
2025/10/01 00:14:13.503, 0, 0 %, 1 MiB
2025/10/01 00:14:13.503, 1, 0 %, 1 MiB
2025/10/01 00:14:43.504, 0, 0 %, 1 MiB
2025/10/01 00:14:43.504, 1, 0 %, 1 MiB
2025/10/01 00:15:13.505, 0, 0 %, 1 MiB
2025/10/01 00:15:13.505, 1, 0 %, 1 MiB
2025/10/01 00:15:43.506, 0, 0 %, 1 MiB
2025/10/01 00:15:43.506, 1, 0 %, 1 MiB
2025/10/01 00:16:13.507, 0, 0 %, 1 MiB
2025/10/01 00:16:13.507, 1, 0 %, 1 MiB
2025/10/01 00:16:43.508, 0, 0 %, 1 MiB
2025/10/01 00:16:43.508, 1, 0 %, 1 MiB
